연번,상호명,소재지 도로명주소,전화번호,비고,데이터기준일자
26,바칼 본점,광주광역시 광산구 신창로138번길 31-5 (신창동),062-959-5000,2025광주맛집,2025-03-10
27,박순자녹두집,광주광역시 동구 구성로204번길 26 (충장동),062-223-8694,2025광주맛집,2025-03-10
28,백년미가 유촌점,광주광역시 서구 유덕로28번길 18 (유촌동),062-946-3392,2025광주맛집,2025-03-10
29,본촌생선구이백반,광주광역시 북구 하서로 506 (건국동),062-974-3667,2025광주맛집,2025-03-10
30,비아꽃게장,광주광역시 광산구 비아동원촌길 71 (비아동),062-956-4777,2025광주맛집,2025-03-10
31,상무초밥 상무점,광주광역시 서구 운천로 253 (치평동),062-385-9200,2025광주맛집,2025-03-10
32,서울곱창,광주광역시 광산구 송정로15번길 71 (송정2동),062-944-1135,2025광주맛집,2025-03-10
33,석암돌솥밥,광주광역시 북구 대천로139번길 8-1 (문흥동),062-262-2222,2025광주맛집,2025-03-10
34,송정떡갈비 1호점,광주광역시 광산구 광산로29번길 1 (송정2동),062-944-1439,2025광주맛집,2025-03-10
35,신락원신관,광주광역시 동구 충장로 45-5 (충장동),062-223-6849,2025광주맛집,2025-03-10
36,쌍학,광주광역시 동구 구성로152번길 13 (충장동),062-225-5200,2025광주맛집,2025-03-10
37,영빈관,광주광역시 서구 풍암순환로128번길 75 (풍암동),062-384-6000,2025광주맛집,2025-03-10
38,오얏리돌솥밥,광주광역시 북구 밤실로 178 (두암3동),062-267-8500,2025광주맛집,2025-03-10
39,옥과한우촌 상무점,광주광역시 서구 내방로 39-1 (치평동),062-383-1592,2025광주맛집,2025-03-10
40,자리봉국밥 본점,광주광역시 북구 하서로 454 (용두동),062-576-5566,2025광주맛집,2025-03-10
41,진식당 본점,광주광역시 북구 중흥로 105 (신안동),062-524-3779,2025광주맛집,2025-03-10
42,초유지,광주광역시 북구 하서로523번길 11 (용두동),062-571-1137,2025광주맛집,2025-03-10
43,하남낙지마당,광주광역시 광산구 사암로216번길 10-13 (우산동),062-955-8892,2025광주맛집,2025-03-10
44,함평한우촌,광주광역시 광산구 임방울대로801번길 37 (쌍암동),062-972-9234,2025광주맛집,2025-03-10
45,해남성내식당,"광주광역시 남구 봉선로 21, 2층 (주월동)",062-672-5123,2025광주맛집,2025-03-10
46,해동활어,광주광역시 서구 상무대로 653-1 (마륵동),062-515-3344,2025광주맛집,2025-03-10
47,해뜰날횟집,광주광역시 북구 저불로 81 (용봉동),062-523-7903,2025광주맛집,2025-03-10
48,행복한밥상,광주광역시 서구 내방로246번길 17 (쌍촌동),062-383-5295,2025광주맛집,2025-03-10
49,행복한임금님 수완점,광주광역시 광산구 왕버들로 113-2 (수완동),062-267-9292,2025광주맛집,2025-03-10
50,황솔촌 운암점,광주광역시 북구 북문대로 167 (운암동),062-513-9233,2025광주맛집,2025-03-10
